,bhk,type,area,region,status,age,price_in_lakh,price_per_sqft
32696,3,Apartment,1031,Andheri West,Under Construction,New,373.0,36178.467507274494
32699,3,Apartment,1031,Andheri West,Under Construction,New,381.0,36954.41319107662
32700,4,Apartment,1320,Andheri West,Under Construction,New,462.0,35000.0
32701,3,Apartment,1400,Andheri West,Ready to move,Resale,400.0,28571.428571428572
32703,3,Apartment,1250,Kandivali West,Ready to move,Resale,160.0,12800.0
32704,1,Apartment,525,Chembur,Under Construction,Resale,100.0,19047.619047619046
32707,3,Apartment,1440,Jogeshwari East,Ready to move,Resale,275.0,19097.222222222223
32709,3,Apartment,1250,Goregaon West,Under Construction,New,241.0,19280.0
32710,2,Apartment,850,Santacruz East,Ready to move,Resale,229.99999999999997,27058.823529411762
32711,2,Apartment,650,Thane West,Under Construction,New,97.0,14923.076923076924
32712,2,Apartment,800,Thane West,Ready to move,New,105.0,13125.0
32713,4,Apartment,1650,Ville Parle East,Ready to move,Resale,575.0,34848.48484848485
32716,2,Apartment,900,Thane West,Ready to move,Resale,146.0,16222.222222222223
32717,2,Apartment,845,Thane West,Ready to move,Resale,90.0,10650.887573964497
32718,3,Apartment,860,Andheri East,Under Construction,New,270.0,31395.3488372093
32721,2,Apartment,850,Thane West,Ready to move,Resale,85.0,10000.0
32723,2,Apartment,800,Thane West,Ready to move,Resale,76.0,9500.0
32726,1,Apartment,532,Jogeshwari West,Under Construction,New,75.0,14097.744360902256
32727,1,Apartment,561,Jogeshwari West,Under Construction,New,79.0,14081.996434937611
32734,2,Apartment,800,Thane West,Ready to move,Resale,70.0,8750.0
32735,2,Apartment,800,Powai,Under Construction,New,162.0,20250.0
32741,2,Apartment,900,Andheri West,Ready to move,Resale,220.00000000000003,24444.44444444445
32744,2,Apartment,850,Thane West,Ready to move,Resale,70.0,8235.29411764706
32745,2,Apartment,750,Thane West,Ready to move,Resale,60.0,8000.0
32746,1,Apartment,600,Thane West,Ready to move,Resale,47.0,7833.333333333333
32747,3,Apartment,840,Kandivali East,Under Construction,New,222.00000000000003,26428.571428571435
32748,3,Apartment,840,Kandivali East,Under Construction,New,222.00000000000003,26428.571428571435
32749,2,Apartment,652,Kandivali East,Under Construction,New,172.0,26380.36809815951
32750,2,Apartment,652,Kandivali East,Under Construction,New,172.0,26380.36809815951
32751,3,Apartment,840,Kandivali East,Under Construction,New,222.00000000000003,26428.571428571435
32752,3,Apartment,840,Kandivali East,Under Construction,New,222.00000000000003,26428.571428571435
32753,2,Apartment,652,Kandivali East,Under Construction,New,172.0,26380.36809815951
32754,2,Apartment,652,Kandivali East,Under Construction,New,172.0,26380.36809815951
32755,2,Apartment,509,Vikhroli,Under Construction,New,97.0,19056.974459724952
32756,1,Apartment,368,Vikhroli,Under Construction,New,66.0,17934.782608695652
32757,2,Apartment,509,Vikhroli,Under Construction,New,97.0,19056.974459724952
32758,2,Apartment,509,Vikhroli,Under Construction,New,97.0,19056.974459724952
32759,1,Apartment,368,Vikhroli,Under Construction,New,66.0,17934.782608695652
32760,1,Apartment,368,Vikhroli,Under Construction,New,66.0,17934.782608695652
32761,1,Apartment,513,Bhandup West,Under Construction,New,62.0,12085.769980506822
32762,3,Apartment,998,Mulund West,Ready to move,Resale,300.0,30060.120240480963
32775,1,Apartment,400,Malad West,Ready to move,Resale,52.0,13000.0
32777,2,Apartment,706,Mira Road East,Ready to move,New,84.0,11898.016997167138
32778,1,Apartment,469,Mira Road East,Under Construction,New,55.35,11801.705756929638
32779,2,Apartment,628,Mira Road East,Under Construction,New,76.0,12101.910828025477
32780,3,Apartment,891,Mira Road East,Ready to move,New,106.0,11896.745230078563
32783,1,Apartment,427,Mira Road East,Under Construction,New,49.5,11592.505854800937
32784,1,Apartment,450,Kandivali West,Under Construction,New,63.0,14000.0
32785,2,Apartment,868,Kandivali West,Under Construction,New,132.0,15207.3732718894
32786,1,Apartment,425,Mira Road East,Under Construction,New,49.5,11647.058823529413
32787,1,Apartment,538,Dahisar,Ready to move,Resale,70.0,13011.152416356877
32789,2,Apartment,775,Kandivali East,Ready to move,Resale,135.0,17419.354838709678
32790,1,Apartment,550,Dahisar,Ready to move,Resale,85.0,15454.545454545454
32792,1,Apartment,580,Thane East,Under Construction,New,75.0,12931.034482758621
32794,3,Apartment,1300,Kandivali East,Ready to move,New,180.0,13846.153846153846
32796,3,Apartment,805,Andheri West,Under Construction,New,290.0,36024.8447204969
32798,2,Apartment,694,Andheri East,Under Construction,New,178.0,25648.414985590778
32799,2,Apartment,703,Andheri East,Under Construction,New,176.0,25035.56187766714
32800,2,Apartment,703,Andheri East,Under Construction,New,182.0,25889.04694167852
32801,3,Apartment,882,Andheri East,Under Construction,New,236.0,26757.36961451247
32802,2,Apartment,725,Kandivali West,Under Construction,New,181.0,24965.51724137931
32803,3,Apartment,1038,Kandivali West,Under Construction,New,250.0,24084.778420038536
32804,4,Apartment,1799,Kandivali West,Under Construction,New,462.0,25680.93385214008
32809,2,Apartment,804,Wadala,Under Construction,New,80.0,9950.248756218905
32810,1,Apartment,495,Wadala,Under Construction,New,80.0,16161.61616161616
32813,2,Apartment,675,Thane West,Ready to move,New,100.0,14814.814814814816
32814,1,Apartment,599,Wadala,Ready to move,Resale,125.0,20868.113522537562
32815,4,Apartment,1764,Thane West,Under Construction,New,425.0,24092.97052154195
32818,1,Apartment,575,Goregaon East,Under Construction,New,74.0,12869.565217391304
